"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"beta[1,1]",42.3925349535782,45.6553284374022,48.8617160509541,45.6222032191044,1.6449471822817,NA,0.00821525032234029,0.5,40092,0.00342698898003476,1.00010866879109
"beta[2,1]",69.3786564992256,71.4460773216485,73.4891888141303,71.4457842798607,1.04636187460033,NA,0.00523285530136863,0.5,39984,0.00197858568075829,0.999999901034287
"es",4.46143204548255,5.27658902244624,6.07262370992887,5.28286771570671,0.410736600477879,NA,0.00210130921662198,0.5,38207,-0.000368991457932278,1.00014766606426
"sigma.epsilon",4.68563045617568,4.91961071812323,4.9999993180437,4.89021233613358,0.101361834198063,NA,0.000562978717362703,0.6,32416,0.0120258682671317,1.00029278959651
"rho",-0.206539570147143,-0.0382531027983625,0.127543447312224,-0.0380258424244927,0.0853792707122328,NA,0.00042483120380489,0.5,40390,-0.000194398888638172,1.00002414823691
"cp",10,10,10,10.01385,0.151191100825162,10,0.00076031209015799,0.5,39543,0.00634408787561402,1.00009165584086
"beta[1,1]",30.1164674081821,33.196020647238,36.2376235521484,33.1865503095882,1.56240931010058,NA,0.0084469567540405,0.5,34213,0.00576590223578347,1.00009233192208
"beta[2,1]",58.040900954847,60.9814971675697,63.899183510952,60.9792578602476,1.49350910112709,NA,0.0074437928414868,0.5,40256,0.0037952952933775,1.00008674148876
"es",4.74498123024725,5.59656731436599,6.43143325862908,5.6010552974905,0.431160121389111,NA,0.00225776513897723,0.5,36469,0.00696543407448824,0.999989696616684
"sigma.epsilon",4.88874862935009,4.97375947491927,4.99999962637088,4.96230035383448,0.0368866355973731,NA,0.0002135564291435,0.6,29834,0.0232620862742127,1.00000047014356
"rho",0.113465869781097,0.259538974135846,0.401645610942071,0.259662018486462,0.0737762697237881,NA,0.000377901571841555,0.5,38113,0.000796641410694732,0.999987905014757
"cp",13,13,13,13.0025,0.0706673534729522,13,0.000374077570851983,0.5,35687,0.00316363273576349,1.02545081556991
"beta[1,1]",44.2214898617053,47.0065130557707,49.8283789475455,46.9811398534938,1.42066481180905,NA,0.00701222664220919,0.5,41046,0.00168741063818146,0.999981515680964
"beta[2,1]",79.8571780693882,83.209896173207,86.5019491312297,83.2115433608162,1.68875876833977,NA,0.00844379384169882,0.5,40000,0.00496193014431342,1.00002985256759
"es",6.47501520615252,7.34310383428087,8.24576916295386,7.34849389545447,0.450056600414741,NA,0.00222763681819237,0.5,40817,0.00540130624868314,0.999986580667405
"sigma.epsilon",4.7986169417235,4.95065682967879,4.99999749970487,4.93118959456314,0.0655139254921066,NA,0.000368454925432127,0.6,31615,0.0154250319178604,1.00010006162732
"rho",0.0636033980609772,0.197439524615016,0.331855705410327,0.197631588423735,0.0687065375180814,NA,0.000341005932457763,0.5,40595,-0.00110083890627445,1.00005648294491
"cp",19,19,19,19,0,19,NA,NA,NA,NA,NA
