Phase,Mark-DV,Phase,George-DV,Phase,John-DV
1,44,1,27,1,55
1,46,1,39,1,59
1,39,1,48,1,60
1,38,1,28,1,49
1,52,1,20,1,39
1,46,1,36,1,53
1,51,1,36,1,42
1,49,1,26,1,55
1,48,1,30,1,43
1,48,1,37,1,36
2,65,1,40,1,57
2,59,1,47,1,36
2,72,1,36,1,46
2,72,2,65,1,41
2,71,2,46,1,40
2,75,2,78,1,52
2,68,2,44,1,53
2,65,2,53,1,39
2,79,2,60,1,54
2,62,2,42,2,83
2,57,2,56,2,76
2,80,2,56,2,98
2,80,2,61,2,83
2,71,2,46,2,76
2,89,2,48,2,77
2,65,2,53,2,72
2,71,2,71,2,77
2,82,2,54,2,75
2,61,2,77,2,77
2,78,2,78,2,96
2,80,2,85,2,106
,,2,76,2,89
,,2,71,,
